#Top: design_1_wrapper   Floorplan: rtl_1   Part: xc7z010clg400-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: austi   on: Thu Dec 25 12:28:12 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2024.2   by: xbuild   on: Fri Nov 08 22:35:27 MST 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Package Delay,Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,P4,IOPAD_X1Y133,PS_DDR_RAS_B_502,62.999,63.632,63.3155,,DDR_54576,DDR_ras_n,OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
502,B4,IOPAD_X1Y72,PS_DDR_DRST_B_502,74.19,74.936,74.563,,DDR_54576,DDR_reset_n,INOUT,,,SSTL15,,FAST,,,,,,,,,,FP_VTT_50,,
502,M5,IOPAD_X1Y1,PS_DDR_WE_B_502,68.997,69.691,69.344,,DDR_54576,DDR_we_n,OUT,,,SSTL15,,SLOW,,,,,,,,,,FP_VTT_50,,
501,C11,IOPAD_X1Y130,PS_MIO53_501,63.134,63.768,63.451,,FIXED_IO_54576,FIXED_IO_mio[53],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,C10,IOPAD_X1Y129,PS_MIO52_501,70.455,71.163,70.809,,FIXED_IO_54576,FIXED_IO_mio[52],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,B9,IOPAD_X1Y128,PS_MIO51_501,57.756,58.337,58.0465,,FIXED_IO_54576,FIXED_IO_mio[51],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,B13,IOPAD_X1Y127,PS_MIO50_501,98.173,99.159,98.666,,FIXED_IO_54576,FIXED_IO_mio[50],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,C12,IOPAD_X1Y126,PS_MIO49_501,79.593,80.393,79.993,,FIXED_IO_54576,FIXED_IO_mio[49],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,B12,IOPAD_X1Y125,PS_MIO48_501,107.618,108.7,108.159,,FIXED_IO_54576,FIXED_IO_mio[48],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,B14,IOPAD_X1Y124,PS_MIO47_501,96.208,97.174,96.691,,FIXED_IO_54576,FIXED_IO_mio[47],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,D16,IOPAD_X1Y123,PS_MIO46_501,155.98,157.548,156.764,,FIXED_IO_54576,FIXED_IO_mio[46],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,B15,IOPAD_X1Y122,PS_MIO45_501,124.747,126.001,125.374,,FIXED_IO_54576,FIXED_IO_mio[45],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,F13,IOPAD_X1Y121,PS_MIO44_501,117.387,118.567,117.977,,FIXED_IO_54576,FIXED_IO_mio[44],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A9,IOPAD_X1Y120,PS_MIO43_501,67.899,68.581,68.24,,FIXED_IO_54576,FIXED_IO_mio[43],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,E12,IOPAD_X1Y119,PS_MIO42_501,73.251,73.987,73.619,,FIXED_IO_54576,FIXED_IO_mio[42],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,C17,IOPAD_X1Y118,PS_MIO41_501,125.035,126.292,125.6635,,FIXED_IO_54576,FIXED_IO_mio[41],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,D14,IOPAD_X1Y117,PS_MIO40_501,93.125,94.061,93.593,,FIXED_IO_54576,FIXED_IO_mio[40],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,C18,IOPAD_X1Y116,PS_MIO39_501,130.5,131.811,131.1555,,FIXED_IO_54576,FIXED_IO_mio[39],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,E13,IOPAD_X1Y115,PS_MIO38_501,81.545,82.365,81.955,,FIXED_IO_54576,FIXED_IO_mio[38],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A10,IOPAD_X1Y114,PS_MIO37_501,84.685,85.536,85.1105,,FIXED_IO_54576,FIXED_IO_mio[37],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A11,IOPAD_X1Y113,PS_MIO36_501,84.976,85.83,85.403,,FIXED_IO_54576,FIXED_IO_mio[36],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,F12,IOPAD_X1Y112,PS_MIO35_501,91.895,92.819,92.357,,FIXED_IO_54576,FIXED_IO_mio[35],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A12,IOPAD_X1Y111,PS_MIO34_501,96.478,97.448,96.963,,FIXED_IO_54576,FIXED_IO_mio[34],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,D15,IOPAD_X1Y110,PS_MIO33_501,105.949,107.014,106.4815,,FIXED_IO_54576,FIXED_IO_mio[33],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A14,IOPAD_X1Y109,PS_MIO32_501,112.814,113.948,113.381,,FIXED_IO_54576,FIXED_IO_mio[32],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,E16,IOPAD_X1Y108,PS_MIO31_501,159.317,160.918,160.1175,,FIXED_IO_54576,FIXED_IO_mio[31],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,C15,IOPAD_X1Y107,PS_MIO30_501,131.324,132.644,131.984,,FIXED_IO_54576,FIXED_IO_mio[30],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,C13,IOPAD_X1Y106,PS_MIO29_501,122.301,123.53,122.9155,,FIXED_IO_54576,FIXED_IO_mio[29],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,C16,IOPAD_X1Y105,PS_MIO28_501,134.725,136.079,135.402,,FIXED_IO_54576,FIXED_IO_mio[28],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,D13,IOPAD_X1Y104,PS_MIO27_501,140.12,141.528,140.824,,FIXED_IO_54576,FIXED_IO_mio[27],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A15,IOPAD_X1Y103,PS_MIO26_501,135.271,136.631,135.951,,FIXED_IO_54576,FIXED_IO_mio[26],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,F15,IOPAD_X1Y102,PS_MIO25_501,133.462,134.804,134.133,,FIXED_IO_54576,FIXED_IO_mio[25],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A16,IOPAD_X1Y101,PS_MIO24_501,136.369,137.739,137.054,,FIXED_IO_54576,FIXED_IO_mio[24],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,D11,IOPAD_X1Y100,PS_MIO23_501,109.408,110.507,109.9575,,FIXED_IO_54576,FIXED_IO_mio[23],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,B17,IOPAD_X1Y99,PS_MIO22_501,151.109,152.628,151.8685,,FIXED_IO_54576,FIXED_IO_mio[22],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,F14,IOPAD_X1Y98,PS_MIO21_501,172.753,174.49,173.6215,,FIXED_IO_54576,FIXED_IO_mio[21],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,A17,IOPAD_X1Y97,PS_MIO20_501,152.644,154.178,153.411,,FIXED_IO_54576,FIXED_IO_mio[20],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,D10,IOPAD_X1Y96,PS_MIO19_501,104.558,105.609,105.0835,,FIXED_IO_54576,FIXED_IO_mio[19],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
501,B18,IOPAD_X1Y95,PS_MIO18_501,169.066,170.765,169.9155,,FIXED_IO_54576,FIXED_IO_mio[18],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,,,FP_VTT_50,,
